Run: 224, exploration: 0.17520481568774066, score: 0, Q_value: 4.127306938171387, Reward : -5.100001335144043
Run: 225, exploration: 0.1743483692752386, score: 0, Q_value: 4.298588752746582, Reward : -6.30000114440918
Run: 226, exploration: 0.17349610939410912, score: 0, Q_value: 4.15744161605835, Reward : -8.700000762939453
Run: 227, exploration: 0.17264801557950482, score: 0, Q_value: 3.92067551612854, Reward : -8.100000381469727
Run: 228, exploration: 0.17180406746661625, score: 0, Q_value: 4.108140468597412, Reward : -8.700000762939453
Run: 229, exploration: 0.17096424479018205, score: 0, Q_value: 4.166077613830566, Reward : -4.5000011920928955
Run: 230, exploration: 0.17012852738400286, score: 0, Q_value: 4.091582298278809, Reward : -5.100001335144043
Run: 231, exploration: 0.16929689518045682, score: 0, Q_value: 4.191740036010742, Reward : -6.90000057220459
Run: 232, exploration: 0.16846932821001775, score: 0, Q_value: 4.035976409912109, Reward : -8.700000762939453
Run: 233, exploration: 0.16764580660077577, score: 0, Q_value: 4.005134105682373, Reward : -6.90000057220459
Run: 234, exploration: 0.16682631057796019, score: 0, Q_value: 4.247974872589111, Reward : -5.100001335144043
Run: 235, exploration: 0.16601082046346421, score: 0, Q_value: 4.055746078491211, Reward : -5.100001335144043
Run: 236, exploration: 0.16519931667537285, score: 0, Q_value: 4.185687065124512, Reward : -6.30000114440918
Run: 237, exploration: 0.16439177972749253, score: 0, Q_value: 4.143036365509033, Reward : -7.500000953674316
Run: 238, exploration: 0.16358819022888327, score: 0, Q_value: 4.202968120574951, Reward : -6.90000057220459
Run: 239, exploration: 0.16278852888339304, score: 0, Q_value: 4.097935199737549, Reward : -5.100001335144043
Run: 240, exploration: 0.16199277648919436, score: 0, Q_value: 4.024202346801758, Reward : -4.5000011920928955
Run: 241, exploration: 0.16120091393832314, score: 0, Q_value: 4.166370868682861, Reward : -6.90000057220459
Run: 242, exploration: 0.16041292221622006, score: 0, Q_value: 4.138690948486328, Reward : -7.500000953674316
Run: 243, exploration: 0.15962878240127387, score: 0, Q_value: 4.188530921936035, Reward : -5.700000762939453
Run: 244, exploration: 0.15884847566436713, score: 0, Q_value: 4.181628704071045, Reward : -6.90000057220459
Run: 245, exploration: 0.15807198326842392, score: 0, Q_value: 4.263262748718262, Reward : -5.700000762939453
Run: 246, exploration: 0.15729928656795986, score: 0, Q_value: 3.9616081714630127, Reward : -6.30000114440918
Run: 247, exploration: 0.1565303670086347, score: 0, Q_value: 4.1459856033325195, Reward : -6.90000057220459
Run: 248, exploration: 0.15576520612680647, score: 0, Q_value: 4.183175086975098, Reward : -6.30000114440918
Run: 249, exploration: 0.15500378554908842, score: 0, Q_value: 4.028575420379639, Reward : -5.700000762939453
Run: 250, exploration: 0.1542460869919076, score: 0, Q_value: 4.097860336303711, Reward : -7.500000953674316
Run: 251, exploration: 0.15349209226106555, score: 0, Q_value: 4.151729583740234, Reward : -6.90000057220459
Run: 252, exploration: 0.15274178325130225, score: 0, Q_value: 4.199800968170166, Reward : -7.500000953674316
Run: 253, exploration: 0.15199514194586064, score: 0, Q_value: 4.185124397277832, Reward : -8.700000762939453
Run: 254, exploration: 0.15125215041605442, score: 0, Q_value: 4.127200603485107, Reward : -6.90000057220459
Run: 255, exploration: 0.15051279082083688, score: 0, Q_value: 4.113557815551758, Reward : -6.30000114440918
Run: 256, exploration: 0.14977704540637338, score: 0, Q_value: 4.09813117980957, Reward : -4.5000011920928955
Run: 257, exploration: 0.14904489650561448, score: 0, Q_value: 4.146106719970703, Reward : -0.9000015258789062
Run: 258, exploration: 0.14831632653787186, score: 0, Q_value: 4.118751049041748, Reward : -3.900001287460327
Run: 259, exploration: 0.14759131800839603, score: 0, Q_value: 4.210219383239746, Reward : -8.100000381469727
Run: 260, exploration: 0.1468698535079566, score: 0, Q_value: 3.93990159034729, Reward : -7.500000953674316
Run: 261, exploration: 0.14615191571242372, score: 0, Q_value: 4.040141582489014, Reward : -2.100001573562622
Run: 262, exploration: 0.14543748738235268, score: 0, Q_value: 4.116039752960205, Reward : -2.7000014781951904
Run: 263, exploration: 0.14472655136256923, score: 0, Q_value: 4.126306533813477, Reward : -8.100000381469727
Run: 264, exploration: 0.14401909058175846, score: 0, Q_value: 4.049232006072998, Reward : -6.90000057220459
Run: 265, exploration: 0.14331508805205412, score: 0, Q_value: 4.128490447998047, Reward : -7.500000953674316
Run: 266, exploration: 0.14261452686863113, score: 0, Q_value: 4.156649112701416, Reward : -0.9000015258789062
Run: 267, exploration: 0.1419173902092998, score: 0, Q_value: 3.981081008911133, Reward : -5.700000762939453
Run: 268, exploration: 0.14122366133410133, score: 0, Q_value: 4.235578536987305, Reward : -6.30000114440918
Run: 269, exploration: 0.14053332358490622, score: 0, Q_value: 4.140865802764893, Reward : -4.5000011920928955
